Jared Tritz,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/22
R. Pedraza-perez,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/60
Issam Rebai,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/114
J. Gobert,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/139
J. Gobert,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/90
J. Gobert,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/168
J. Gobert,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/138
Kathleen Perez-Lopez,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/14
Eun Young Ha,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/120
Brandon White,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/8
Amelia Zafra,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/200
Katrien Verbert,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/72
Katrien Verbert,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/46
Katrien Verbert,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/28
Philip Pavlik,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/32
Pedro Crespo,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/16
Nikita Romashkin,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/87
Nikita Romashkin,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/104
Elizabeth Ayers,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/152
Elizabeth Ayers,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/183
Elizabeth Ayers,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/216
Elizabeth Ayers,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/187
Jihie Kim,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/28
Ivana Quinto,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/50
Anna De Liddo,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/50
Wu He,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/71
NO_AUTHORS,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/65
Jaan Ubi,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/137
Amar Balla,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/114
Moses Hall,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/233
Andrew Olney,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/157
Andrew Olney,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/151
Adarsh G V,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/28
